               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.015627,           0.0061177,                   0,             0.99989,                   1,               0.995,             0.82728,           0.0089507,           0.0049275,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.014647,            0.006341,                   0,             0.99979,                   1,               0.995,             0.82933,            0.008969,           0.0048984,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.015105,           0.0065212,                   0,             0.99971,                   1,               0.995,             0.83125,           0.0089044,           0.0047221,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.015299,            0.006472,                   0,             0.99986,                   1,               0.995,             0.83108,           0.0091071,           0.0048155,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.014124,           0.0060008,                   0,             0.99987,                   1,               0.995,             0.83453,           0.0088353,           0.0047344,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.015477,           0.0063813,                   0,             0.99985,                   1,               0.995,             0.84127,           0.0086763,           0.0046779,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.013969,             0.00607,                   0,             0.99977,                   1,               0.995,             0.83626,           0.0088152,           0.0046989,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.014395,            0.006371,                   0,             0.99983,                   1,               0.995,             0.82791,           0.0090223,           0.0048442,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.014199,           0.0060167,                   0,             0.99983,                   1,               0.995,             0.83139,            0.008553,           0.0047159,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.013998,           0.0062388,                   0,             0.99987,                   1,               0.995,             0.83168,            0.008795,           0.0047732,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.014315,           0.0062639,                   0,             0.99985,                   1,               0.995,             0.82844,           0.0091654,           0.0047843,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.014042,           0.0059415,                   0,              0.9997,                   1,               0.995,              0.8201,           0.0095701,           0.0050312,                   0,            0.005347,            0.005347,            0.005347
                 143,             0.01473,           0.0061378,                   0,             0.99988,                   1,               0.995,             0.84254,           0.0084762,           0.0046712,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.014577,           0.0059609,                   0,             0.99989,                   1,               0.995,             0.83204,           0.0090959,           0.0047312,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.013736,           0.0056777,                   0,             0.99988,                   1,               0.995,             0.83419,           0.0087062,           0.0047461,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.014424,           0.0061654,                   0,             0.99988,                   1,               0.995,             0.83283,           0.0088023,           0.0049248,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.013657,           0.0061536,                   0,             0.99979,                   1,               0.995,             0.84209,           0.0084766,           0.0047299,                   0,            0.005182,            0.005182,            0.005182
                 148,             0.01438,           0.0061905,                   0,              0.9998,                   1,               0.995,              0.8441,           0.0086389,           0.0047115,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.013747,           0.0060497,                   0,             0.99987,                   1,               0.995,             0.84561,           0.0086167,           0.0046198,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.014496,           0.0061805,                   0,             0.99985,                   1,               0.995,             0.84219,           0.0086242,            0.004692,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.013935,           0.0061645,                   0,             0.99993,                   1,               0.995,             0.82097,           0.0093353,           0.0049429,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.013616,           0.0059121,                   0,             0.99987,                   1,               0.995,             0.84736,           0.0084807,           0.0046295,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.015039,           0.0061659,                   0,             0.99981,                   1,               0.995,             0.84212,           0.0086755,           0.0047414,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.014466,           0.0062491,                   0,             0.99987,                   1,               0.995,             0.84078,           0.0086891,           0.0046727,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.014413,           0.0063149,                   0,              0.9998,                   1,               0.995,             0.84188,           0.0085565,           0.0046959,                   0,            0.004918,            0.004918,            0.004918
